question,answer
How to reset password?,Click on forgot password on login page
I forgot my password,Click on forgot password on login page
How can I change my password?,Click on forgot password on login page
Unable to login due to password,Click on forgot password on login page

How to get refund?,Refund will be processed in 5-7 days
I want my money back,Refund will be processed in 5-7 days
Refund process kya hai?,Refund will be processed in 5-7 days
My payment refund kab milega?,Refund will be processed in 5-7 days
Refund ka status kya hai?, Refund will be processed in 5-7 days
How to request refund?, Refund will be processed in 5-7 days
My payment refund kab milega?, Refund will be processed in 5-7 days

How to contact support?,Email support@company.com
How can I contact customer support?,Email support@company.com
Customer care number kya hai?,Email support@company.com
